Time in milliSecond	x	y	z
9466038	-0.926184	8.676162	3.418707
9466049	-0.858082	8.676162	3.364226
9466059	-0.844462	8.730643	3.582151
9466068	-0.8036	8.771504	3.786457
9466079	-0.994285	8.785124	4.045243
9466090	-1.116868	8.825985	4.045243
9466100	-1.089628	8.839605	3.92266
9466110	-0.926184	8.635301	3.459568
9466122	-0.817221	8.499097	2.982856
9466132	-0.667397	8.403754	2.778551
9466142	-0.572055	8.471856	2.655968
9466153	-0.77636	8.485476	2.928375
9466162	-1.048767	8.62168	3.159921
9466172	-1.15773	8.744264	3.214402
9466182	-1.130489	8.825985	2.996476
9466194	-1.076007	8.894087	2.901134
9466204	-1.021526	8.907707	2.792171
9466214	-0.898943	8.934948	2.696829
9466224	-0.898943	8.989429	2.696829
9466235	-0.749119	9.098392	2.833032
9466244	-0.503953	9.166494	2.941995
9466255	-0.136203	9.466142	2.955616
9466266	-0.286027	9.711308	3.187161
9466276	-0.708258	9.80665	3.282504
9466285	-1.007906	9.79303	3.391467
9466296	-1.15773	9.861132	3.105439
9466306	-1.076007	9.765789	2.996476
9466316	-0.885323	9.820271	2.615107
9466330	-0.77636	9.724928	2.070293
9466340	-0.599295	9.656827	2.029432
9466350	-0.340509	9.602345	2.043052
9466362	-0.149824	9.602345	2.015811
9466371	-0.122583	9.643207	2.247357
9466381	-0.149824	9.697687	2.451663
9466392	-0.149824	9.629586	2.315459
9466402	-0.190685	9.561484	2.260978
9466412	-0.149824	9.479762	2.002191
9466422	-0.204305	9.39804	1.865988
9466433	-0.245166	9.207355	1.57996
9466443	-0.204305	9.125633	1.348414
9466452	-0.122583	9.071152	1.362035
9466463	-0.068102	9.275456	1.416516
9466473	0.027241	9.479762	1.430137
9466483	0.136203	9.602345	1.443757
9466494	0.258787	9.670447	1.116868
9466504	0.40861	9.697687	1.116868
9466515	0.490333	9.79303	0.967045
9466524	0.640156	9.765789	1.062387
9466535	0.612916	9.820271	1.293933
9466545	0.626536	9.901993	1.757025
9466556	0.8036	9.970095	1.988571
9466567	0.830841	10.024576	2.152015
9466578	0.735499	10.038197	2.260978
9466588	0.77636	10.133538	2.369941
9466598	0.78998	10.20164	2.35632
9466611	0.844462	10.337844	2.301839
9466621	0.898943	10.269742	2.152015
9466632	0.994285	10.160779	2.029432
9466642	1.048767	10.119919	1.906849
9466652	1.062387	10.051817	1.893228
9466663	0.8036	10.079058	2.029432
9466673	0.572055	10.133538	2.547005
9466683	0.340509	10.147159	2.73769
9466693	0.190685	10.051817	2.587866
9466705	0.136203	9.956474	2.410802
9466714	0.122583	9.820271	2.438042
9466724	0.149824	9.602345	2.220117
9466735	0.367749	9.425281	1.934089
9466745	0.449471	9.357179	1.906849
9466755	0.612916	9.316318	2.015811
9466765	0.667397	9.193735	1.770645
9466775	0.667397	9.193735	1.838747
9466786	0.667397	9.220976	1.865988
9466796	0.572055	9.125633	1.757025
9466806	0.449471	9.220976	1.825127
9466817	0.503953	9.289077	1.893228
9466827	0.476712	9.289077	1.743405
9466837	0.476712	9.329938	1.811506
9466847	0.476712	9.275456	1.811506
9466858	0.503953	9.357179	1.607201
9466868	0.585675	9.384419	1.57996
9466878	0.681017	9.41166	1.443757
9466890	0.708258	9.466142	1.511859
9466900	0.626536	9.575105	1.56634
9466909	0.612916	9.80665	1.825127
9466921	0.558434	9.888372	1.920469
9466931	0.503953	9.779409	1.825127
9466945	0.40861	9.79303	1.443757
9466955	0.463092	9.752169	1.225831
9466967	0.612916	9.765789	1.212211
9466977	0.708258	9.80665	1.321174
9466986	0.544814	10.106298	1.906849
9466998	0.38137	10.337844	2.451663
9467008	0.40861	10.324224	2.3427
9467018	0.38137	10.310603	2.124774
9467030	0.40861	10.378705	1.729784
9467039	0.585675	10.351464	1.348414
9467050	0.640156	10.460427	1.253072
9467060	0.78998	10.54215	1.321174
9467071	0.77636	10.814556	1.934089
9467081	0.612916	10.896278	2.3427
9467091	0.572055	10.896278	2.76493
9467102	0.38137	10.746454	2.873893
9467112	0.177065	10.800936	2.628727
9467122	-0.149824	10.814556	2.465283
9467134	-0.558434	10.909899	2.315459
9467145	-0.667397	10.841797	2.138395
9467156	-1.144109	10.95076	2.438042
9467170	-1.634442	11.34575	3.813697
9467180	-2.124774	11.727119	5.121251
9467190	-2.478903	12.054008	6.551387
9467201	-2.601486	12.026767	7.395849
9467212	-2.76493	11.522814	7.491191
9467222	-2.628727	10.828176	7.096201
9467233	-2.424422	10.256122	6.319841
9467247	-1.879608	9.765789	5.10763
9467256	-1.498238	9.41166	4.440233
9467267	-1.048767	9.071152	4.004382
9467278	-0.926184	8.880466	4.018003
9467288	-0.939804	8.785124	4.276789
9467298	-1.116868	8.717023	4.549196
9467310	-1.321174	8.59444	4.69902
9467321	-1.443757	8.362893	4.549196
9467331	-1.470998	8.090487	4.372132
9467341	-1.430137	7.927042	3.963521
9467351	-1.362035	7.872561	3.609392
9467362	-1.18497	7.858941	3.255263
9467371	-1.280313	7.8317	2.860273
9467382	-1.307553	7.913422	2.887514
9467392	-1.321174	7.981524	3.187161
9467402	-1.266692	7.872561	3.568531
9467414	-1.321174	7.790839	3.636633
9467423	-1.348414	7.695497	3.500429
9467434	-1.334794	7.722737	3.023717
9467446	-1.321174	7.736358	2.574246
9467456	-1.334794	7.913422	2.179256
9467466	-1.348414	7.927042	1.757025
9467477	-1.484618	7.981524	1.307553
9467488	-1.470998	8.117727	0.926184
9467500	-1.484618	8.22669	0.994285
9467509	-1.375655	8.19945	1.103248
9467520	-1.362035	8.294792	1.702543
9467531	-1.334794	8.362893	2.138395
9467541	-1.18497	8.253931	2.410802
9467551	-1.18497	8.322033	2.601486
9467561	-1.062387	8.471856	2.792171
9467572	-1.116868	8.512717	2.778551
9467582	-1.280313	8.648921	2.683208
9467592	-1.525479	8.730643	2.846653
9467604	-1.675303	8.880466	2.819412
9467614	-1.825127	8.962189	2.941995
9467624	-1.94771	9.125633	3.023717
9467635	-1.988571	9.289077	3.228022
9467647	-2.029432	9.384419	3.405087
9467657	-2.029432	9.41166	3.541291
9467667	-2.029432	9.466142	3.255263
9467677	-1.988571	9.507003	2.778551
